flight_number,date_time_utc,rocket_configuration,launch_site,payload,payload_mass,orbit,user,launch_outcome,remarks
D1,20 September 1993 05:12,PSLV-G,First,IRS-1E,846 kg,,,Failure,Maiden flight ; Attitude control failure at second stage separation. [ 1 ]
D2,15 October 1994 05:05,PSLV-G,First,IRS-P2,804 kg,,,Success,[ 52 ]
D3,21 March 1996 04:53,PSLV-G,First,IRS-P3,920 kg,,,Success,[ 53 ]
C1,29 September 1997 04:47,PSLV-G,First,IRS-1D,1250 kg,,,Partial failure,First operational flight ; Fourth stage under-performed resulting in lower than planned orbit. Satellite used own propulsion to move to correct orbit. [ 54 ]
C2,26 May 1999 06:22,PSLV-G,First,Oceansat-1 DLR-Tubsat Kitsat-3,1050 kg 45 kg 107 kg,,,Success,2001–2005 [ edit ]
C3,22 October 2001 04:53,PSLV-G,First,TES PROBA BIRD,1108 kg 94 kg 92 kg,,,Success,"First multi-orbit mission. TES and BIRD were injected into a nominal 568 km circular sun-synchronous polar orbit , PROBA was injected into a 568 X 638 km elliptic orbit . Orbit was raised using RCS thrusters on fourth stage. [ 55 ] [ 56 ]"
C4,12 September 2002 10:23,PSLV-G,First,MetSat-1 (Kalpana-1),1060 kg,,,Success,"India's first launch to GTO . GTO payload capability has reached 1200 kg from 2002 onward, compared to 1050 kg previously. First use of lightweight carbon composite payload adapter. [ 57 ] [ 58 ] [ 59 ]"
C5,17 October 2003 04:52,PSLV-G,First,RESOURCESAT-1 (IRS-P6),1360 kg,,,Success,Payload capability had been progressively increased by more than 600 kg since the first PSLV launch. Launch took place despite heavy rain. [ 60 ] [ 61 ]
C6,5 May 2005 04:45,PSLV-G,Second,Cartosat-1 HAMSAT,1560 kg 42.5 kg,,,Success,2007 [ edit ]
C7,10 January 2007 03:54,PSLV-G,First,Cartosat-2 SRE-1 LAPAN-TUBsat PEHUENSAT-1,680 kg 500 kg 56 kg 6 kg,,,Success,"First flight of hardware upgrade , first launch of reentry capsule (SRE). [ 63 ]"
C8,23 April 2007 10:00,PSLV-CA,Second,AGILE AAM (attached to PS4),352 kg 185 kg,,,Success,2008 [ edit ]
C10,21 January 2008 03:45,PSLV-CA,First,TecSAR,295 kg,,,Success,ISRO's second commercial launch (foreign satellite as the main payload). [ 66 ] [ 67 ]
C9,28 April 2008 03:53,PSLV-CA,Second,Cartosat-2A IMS-1/TWSAT RUBIN-8 CanX-6/NTS CanX-2 CUTE-1.7 + APD II Delfi-C3 SEEDS-2 COMPASS-1 AAUSAT-II,690 kg 83 kg 8 kg 6.5 kg 3.5 kg 3 kg 2.2 kg 1 kg 1 kg 0.75 kg,,,Success,[ 68 ] [ 69 ]
C11,22 October 2008 00:52,PSLV-XL,Second,Chandrayaan-1,1380 kg,,,Success,2009 [ edit ]
C12,20 April 2009 01:15,PSLV-CA,Second,RISAT-2 ANUSAT,300 kg 40 kg,,,Success,"India's first radar imaging satellite, RISAT. [ 72 ] [ 73 ]"
C14,23 September 2009 06:21,PSLV-CA,First,Oceansat-2 Rubin 9.1 (attached to PS4) Rubin 9.2 (attached to PS4) SwissCube-1 BeeSat UWE-2 ITUpSAT1,960 kg 8 kg 8 kg 1 kg 1 kg 1 kg 1 kg,,,Success,"Rubin 9.1 and 9.2 intentionally remained attached to the fourth stage. SwissCube-1 was the first Swiss satellite, and ITUpSAT1 was the first satellite to be constructed in Turkey . [ 74 ] [ 75 ] [ 76 ] [ 77 ] [ 78 ] [ 79 ]"
C15,12 July 2010 03:52,PSLV-CA,First,Cartosat-2B ALSAT-2A AISSat-1 TIsat-1 STUDSAT,694 kg 117 kg 6.5 kg 1 kg 0.95 kg,,,Success,2011 [ edit ]
C16,20 April 2011 04:42,PSLV-G,First,ResourceSat-2 X-Sat YouthSat,1206 kg 106 kg 92 kg,,,Success,[ 87 ]
C17,15 July 2011 11:18,PSLV-XL,Second,GSAT-12,1410 kg,,,Success,First use of Vikram flight computer . [ 88 ] [ 89 ]
C18,12 October 2011 05:31,PSLV-CA,First,Megha-Tropiques SRMSAT Jugnu VesselSat-1,1000 kg 10.9 kg 3 kg 28.7 kg,,,Success,2012 [ edit ]
C19,26 April 2012 00:17,PSLV-XL,First,RISAT-1,1858 kg,,,Success,[ 92 ] [ 93 ]
C21,9 September 2012 04:23,PSLV-CA,First,SPOT-6 mRESINS (attached to PS4) PROITERES,720 kg 50 kg 15 kg,,,Success,2013 [ edit ]
C20,25 February 2013 12:31,PSLV-CA,First,SARAL Sapphire NEOSSat TUGSAT-1 UniBRITE-1 STRaND-1 AAUSAT3,409 kg 148 kg 74 kg 14 kg 14 kg 6.5 kg 0.8 kg,,,Success,TUGSAT-1 and UniBRITE were the first Austrian satellites. [ 96 ] [ 97 ] [ 98 ]
C22,1 July 2013 18:11,PSLV-XL,First,IRNSS-1A,1425 kg,,,Success,India's first regional navigation satellite. [ 19 ]
C25,5 November 2013 09:08,PSLV-XL,First,Mars Orbiter Mission,1350 kg,,,Success,2014 [ edit ]
C24,4 April 2014 11:44,PSLV-XL,First,IRNSS-1B,1432 kg,,,Success,India's second regional navigation satellite. [ 101 ] [ 102 ]
C23,30 June 2014 04:22,PSLV-CA,First,SPOT-7 CanX-4 CanX-5 AISAT VELOX-1,714 kg 15 kg 15 kg 14 kg 7 kg,,,Success,ISRO's fourth commercial launch (foreign satellite as the main payload). [ 103 ]
C26,16 October 2014 20:02,PSLV-XL,First,IRNSS-1C,1425.4 kg,,,Success,2015 [ edit ]
C27,28 March 2015 11:49,PSLV-XL,Second,IRNSS-1D,1425 kg,,,Success,Eighth PSLV-XL and fourth Navigation Satellite launch. [ 106 ]
C28,10 July 2015 16:28,PSLV-XL,First,UK-DMC3A UK-DMC3B UK-DMC3C CBNT-1 DeOrbitSail,447 kg 447 kg 447 kg 91 kg 7 kg,,,Success,First international customer for XL Variant. At the time it was the heaviest commercial mission (1439 kg) successfully accomplished using a launch vehicle assembled by ISRO. [ 107 ] [ 108 ] [ 109 ]
C30,28 September 2015 04:30,PSLV-XL,First,Astrosat LAPAN-A2 exactView 9 Lemur-2 #1 Joel Lemur-2 #2 Peter Lemur-2 #3 Jeroen Lemur-2 #4 Chris,1650 kg 68 kg 5.5 kg 4 kg 4 kg 4 kg 4 kg,,,Success,Launch of India's first dedicated multi-wavelength space observatory and ISRO's first launch of US satellites. [ 110 ]
C29,16 December 2015 12:30,PSLV-CA,First,TeLEOS-1 VELOX-C1 VELOX-II Kent Ridge-1 Galassia Athenoxat-1 [ 111 ] [ 112 ],400 kg 123 kg 13 kg 78 kg 3.4 kg 4.8 kg,,,Success,2016 [ edit ]
C31,20 January 2016 04:01,PSLV-XL,Second,IRNSS-1E,1425 kg,,,Success,"IRNSS-1E, fifth navigation satellite of the seven satellites constituting the IRNSS space segment launched. It carries two types of payloads – navigation payload and ranging payload. This is the eleventh time ""XL"" configuration is being flown. [ 115 ] [ 116 ] [ 117 ]"
C32,10 March 2016 10:31,PSLV-XL,Second,IRNSS-1F,1425 kg,,,Success,"IRNSS-1F, sixth navigation satellite of the seven satellites constituting the IRNSS space segment launched. It carries two types of payloads – navigation payload and ranging payload. This is the twelfth time ""XL"" configuration is being flown. IRNSS-1F carries Corner Cube Retroreflectors for laser ranging. [ 118 ] Launch initially scheduled for 10:30 was delayed by one minute to avoid space debris . [ 119 ]"
