flight_number,rocket_type,launch_success,outcome_category,outcome_encoded,launch_datetime,launch_year,launch_month,launch_day_of_week,launch_hour,launch_quarter,days_since_previous_launch,years_since_first_launch,rocket_type_encoded,launch_site_encoded,orbit_encoded,rocket_config_encoded,launch_time_encoded,payload_mass_kg,payload_count,payload_complexity,payload_mass_normalized,is_multi_payload,payload_risk_score,experience_index,configuration_maturity,launch_frequency,is_monsoon_season
D1,PSLV,0,Failure,0,1993-09-20 05:12:00,1993.0,9.0,0.0,5.0,3.0,0.0,0.0,0,0,3,5,3,846.0,1,0.547,0.354,0,0.325,1,1.0,1.0,1
D2,PSLV,1,Success,2,1994-10-15 05:05:00,1994.0,10.0,5.0,5.0,4.0,389.0,1.065,0,0,3,5,3,804.0,1,0.535,0.336,0,0.315,2,2.0,1.0,0
D3,PSLV,1,Success,2,1996-03-21 04:53:00,1996.0,3.0,3.0,4.0,1.0,522.0,2.497,0,0,3,5,3,920.0,1,0.569,0.384,0,0.343,3,3.0,1.0,0
C1,PSLV,0,Partial,1,1997-09-29 04:47:00,1997.0,9.0,0.0,4.0,3.0,556.0,4.022,0,0,3,5,3,1250.0,1,0.666,0.522,0,0.423,4,4.0,1.0,1
C2,PSLV,1,Success,2,1999-05-26 06:22:00,1999.0,5.0,2.0,6.0,2.0,604.0,5.678,0,0,3,5,0,1202.0,1,0.652,0.502,0,0.411,5,5.0,1.0,0
D1,GSLV,0,Partial,1,2001-04-18 10:13:00,2001.0,4.0,2.0,10.0,2.0,0.0,7.576,1,0,0,1,0,1540.0,1,0.75,0.644,0,0.493,1,1.0,1.0,0
C3,PSLV,1,Success,2,2001-10-22 04:53:00,2001.0,10.0,0.0,4.0,4.0,879.0,8.085,0,0,3,5,3,1294.0,1,0.679,0.541,0,0.434,6,6.0,1.0,0
C4,PSLV,1,Success,2,2002-09-12 10:23:00,2002.0,9.0,3.0,10.0,3.0,325.0,8.977,0,0,3,5,0,1060.0,1,0.61,0.443,0,0.377,7,7.0,1.0,1
D2,GSLV,1,Success,2,2003-05-08 11:28:00,2003.0,5.0,3.0,11.0,2.0,750.0,9.629,1,0,0,1,0,1825.0,1,0.834,0.763,0,0.562,2,2.0,1.0,0
C5,PSLV,1,Success,2,2003-10-17 04:52:00,2003.0,10.0,4.0,4.0,4.0,399.0,10.07,0,0,3,5,3,1360.0,1,0.698,0.568,0,0.45,8,8.0,1.0,0
F01,GSLV,1,Success,2,2004-09-20 10:31:00,2004.0,9.0,0.0,10.0,3.0,500.0,11.001,1,0,0,1,0,1950.0,1,0.87,0.815,0,0.593,3,3.0,1.0,1
C6,PSLV,1,Success,2,2005-05-05 04:45:00,2005.0,5.0,3.0,4.0,2.0,565.0,11.619,0,2,3,5,3,1602.5,1,0.769,0.67,0,0.508,9,9.0,1.0,0
F02,GSLV,0,Failure,0,2006-07-10 12:08:00,2006.0,7.0,0.0,12.0,3.0,658.0,12.802,1,2,0,1,1,2168.0,1,0.934,0.906,0,0.645,4,4.0,1.0,1
